add 0110011 000 0000000
sub 0110011 000 0100000
sll 0110011 001 0000000
slt 0110011 010 0000000
sltu 0110011 011 0000000
xor 0110011 100 0000000
srl 0110011 101 0000000
sra 0110011 101 0100000
or 0110011 110 0000000
and 0110011 111 0000000
addw 0111011 000 0000000
subw 0111011 000 0100000
sllw 0111011 001 0000000
slrw 0111011 101 0000000
sraw 0111011 101 0100000
addi 0010011 000
lb 0000011 000
lh 0000011 001
lw 0000011 010
ld 0000011 011
lbu 0000011 100
lhu 0000011 101
lwu 0000011 110
fence 0001111 000
fence.i 0001111 001
slli 0010011 001 0000000
slti 0010011 010
sltiu 0010011 011
xori 0010011 100
srli 0010011 101 0000000
srai 0010011 101 0100000
ori 0010011 110
andi 0010011 111
addiw 0011011 000
slliw 0011011 001 0000000
srliw 0011011 101 0000000
sraiw 0011011 101 0100000
jalr 1100111 000
ecall 1110011 000 000000000000
ebreak 1110011 000 000000000001
CSRRW 1110011 001
CSRRS 1110011 010
CSRRC 1110011 011
CSRRWI 1110011 101
CSRRSI 1110011 110
CSRRCI 1110011 111
sw 0100011 010 -1
sb 0100011 000 -1
sh 0100011 001 -1
sd 0100011 011 -1
beq 1100011 000 -1
bne 1100011 001 -1
blt 1100011 100 -1
bge 1100011 101 -1
bltu 1100011 110 -1
bgeu 1100011 111 -1
auipc 0010111 -1 -1
lui 0110111 -1 -1
jal 1101111 -1 -1
mul 0110011 000 0000001
mulw 0111011 000 0000001
mulh 0110011 001 0000001
mulhsu 0110011 010 0000001
mulhu 0110011 011 0000001
div 0110011 100 0000001
divw 0111011 100 0000001
divu 0110011 101 0000001
divuw 0111011 101 0000001
rem 0110011 110 0000001
remw 0111011 110 0000001
remu 0110011 111 0000001
remuw 0111011 111 0000001
amoadd.d 0101111 011 0000000
amoadd.w 0101111 010 0000000
amoand.d 0101111 011 0110000
amoand.w 0101111 010 0110000
amomax.d 0101111 011 1010000
amomax.w 0101111 010 1010000
amomaxu.d 0101111 011 1110000
amomaxu.w 0101111 010 1110000
amomin.d 0101111 011 1000000
amomin.w 0101111 010 1000000
amominu.d 0101111 011 1100000
amominu.w 0101111 010 1100000
amoor.d 0101111 011 0100000
amoor.w 0101111 010 0100000
amoswap.d 0101111 011 0000100
amoswap.w 0101111 010 0000100
amoxor.d 0101111 011 0010000
amoxor.w 0101111 010 0010000
fmv.x.d 1010011 000 1110001
fmv.x.w 1010011 000 1110000
fmv.w.x 1010011 000 1111000
fmv.d.x 1010011 000 1111001
fadd.s 1010011 111 0000000
fsub.s 1010011 111 0000100
fmul.s 1010011 111 0001000
fdiv.s 1010011 111 0001100
feq.s 1010011 010 1010000
fadd.d 1010011 111 0000001
fsub.d 1010011 111 0000101
fmul.d 1010011 111 0001001
fdiv.d 1010011 111 0001101
feq.d 1010011 010 1010001
fsqrt.s 1010011 111 0101100
fsqrt.d 1010011 111 0101101
fmin.s 1010011 000 0010100
fmax.s 1010011 001 0010100
fmin.d 1010011 000 0010101
fmax.d 1010011 001 0010101
fmadd.s 1000011 111 
fnmadd.s 1001111 111
fmsub.s 1000111 111
fnmsub.s 1001011 111
fmadd.d 1000011 111 
fnmadd.d 1001111 111
fmsub.d 1000111 111
fnmsub.d 1001011 111
fclass.s 1010011 001 1110000
fclass.d 1010011 001 1110001
fle.s 1010011 000 1010000
fle.d 1010011 000 1010001
flt.s 1010011 001 1010000
flt.d 1010011 001 1010001
fcvt.s.wu 1010011 111 1101000
fcvt.s.w 1010011 111 1101000
fcvt.s.l 1010011 111 1101000
fcvt.s.lu 1010011 111 1101000
fcvt.d.wu 1010011 111 1101001
fcvt.d.w 1010011 111 1101001
fcvt.d.l 1010011 111 1101001
fcvt.d.lu 1010011 111 1101001
fcvt.w.s 1010011 001 1100000
fcvt.wu.s 1010011 001 1100000
fcvt.l.s 1010011 001 1100000
fcvt.lu.s 1010011 001 1100000
fcvt.w.d 1010011 001 1100001
fcvt.wu.d 1010011 001 1100001
fcvt.l.d 1010011 001 1100001
fcvt.lu.d 1010011 001 1100001
fcvt.s.d 1010011 111 0100000
fcvt.d.s 1010011 111 0100001
flw 0000111 010
fld 0000111 011
fsw 0100111 010
fsd 0100111 011
fsgnj.s 1010011 000 0010000
fsgnjn.s 1010011 001 0010000
fsgnjx.s 1010011 010 0010000
fsgnj.d 1010011 000 0010001
fsgnjn.d 1010011 001 0010001
fsgnjx.d 1010011 010 0010001
